symbol,profile.mktCap,profile.companyName,profile.industry,profile.description,profile.sector
CEE,1.49E+08,The Central and Eastern Europe Fund Inc. (The),Asset Management,Central Europe & Russia Fund Inc is a closed end management investment company. Its objective is high current income and its secondary objective is capital appreciation.,Financial Services
EFF,1.09E+08,Eaton vance Floating-Rate Income Plus Fund of Beneficial Interest,Asset Management,"EV Floating-Rate Income Plus Fund is a diversified, closed-end management investment company. The Fund's investment objective is total return, with an emphasis on income.",Financial Services
ERC,3.46E+08,Wells Fargo Multi-Sector Income Fund no par value,Asset Management,"Wells Fargo Multi-Sector Income Fund is an asset management company. The company aims to provide its investors a high level of income by investing across companies in various sectors such as oil and gas, energy and banks.",Financial Services
ETB,3.78E+08,Eaton Vance Tax-Managed Buy-Write Income Fund of Beneficial Interest,Asset Management,"Eaton Vance Tax-Managed Buy-Write Income Fund is a diversified closed-end management investment company. The fund's investment objective is to provide current income and gains, with a secondary objective of capital appreciation.",Financial Services
HYI,3.35E+08,Western Asset High Yield Defined Opportunity Fund Inc.,Asset Management,"Western Asset High Yield Defined Opps., is a a non-diversified, limited-term, closed-end management investment company. Its investment objective is to provide high income and seek capital appreciation.",Financial Services
IOR,4.90E+07,Income Opportunity Realty Investors Inc.,Real Estate Services,Income Opportunity Realty Investors Inc invests in equity interests in real estate through direct equity investments and partnerships and finances real estate and real estate-related activities through investments in mortgage loans.,Real Estate
IVH,1.95E+08,Ivy High Income Opportunities Fund of Beneficial Interest,Asset Management,"Ivy High Income Opportunities Fund is a non-diversified, closed-end management investment company. Its investment objective is to seek to provide total return through a combination of a high level of current income and capital appreciation.",Financial Services
KREF,9.59E+08,KKR Real Estate Finance Trust Inc.,Banks,KKR Real Estate Finance Trust Inc is a real estate finance company that focuses primarily on originating and acquiring senior mortgage loans secured by CRE assets.,Financial Services
MAV,2.55E+08,Pioneer Municipal High Income Advantage Trust of Beneficial Interest,Asset Management,Pioneer Muni High Income Advantage Tr is a closed-end fund designed to pursue high current income exempt from regular federal income tax.,Financial Services
MTSC,4.17E+08,MTS Systems Corporation,Computer Hardware,MTS Systems Corp is a supplier of test systems and position sensors. Its operations are organized and managed in two business segments; the Test segment and the Sensors segment.,Technology
MUS,1.59E+08,Blackrock MuniHoldings Quality Fund Inc,Asset Management,Blackrock Muniholdings Quality Fund Inc is a closed-end fund. Its investment objective is to provide shareholders with current income exempt from federal income taxes.,Financial Services
MYN,4.96E+08,Blackrock MuniYield New York Quality Fund Inc.Common Stock,Asset Management,Blackrock Muniyield NY Insured FD is a closed end management investment company. Its objective is to provide shareholders with a high level of current income.,Financial Services
NEV,3.51E+08,Nuveen Enhanced Municipal Value Fund of Beneficial Interest,Asset Management,Nuveen Enhanced Municipal Value Fund is a diversified closed-end management investment company. Its investment objective is to provide current income by investing in a portfolio of municipal obligations issued by state and local government authorities.,Financial Services
NPK,6.72E+08,National Presto Industries Inc.,Aerospace & Defense,"National Presto Industries Inc is engaged in manufacturing defense products. Its product portfolio includes 40mm ammunition, precision and electro-mechanical assemblies and medium caliber cartridge cases, amongst others.",Industrials
PFO,1.48E+08,Flaherty & Crumrine Preferred Income Opportunity Fund Incorporated,Asset Management,Flaherty & Crumrine Prfd Income Oppo is a closed-end investment company which invests primarily in preferred stocks. Its investment objective is to provide its common shareholders with high current income consistent with the preservation of capital.,Financial Services
PMX,3.87E+08,PIMCO Municipal Income Fund III of Beneficial Interest,Asset Management,PIMCO Municipal Income Fund III is a closed-end management investment company. The fund's primary investment objective is to seek current income exempt from federal and California income tax.,Financial Services
POWL,3.55E+08,Powell Industries Inc.,Industrial Products,Powell Industries Inc develops industrial goods. Its custom engineered equipment and systems find use in control of electrical energy and other critical processes.,Industrials
PWOD,1.86E+08,Penns Woods Bancorp Inc.,Banks,"Penns Woods Bancorp Inc is a bank holding company. It is engaged in a full-service commercial banking business, making available to the community a range of financial services including installment loans, credit cards, among others.",Financial Services
SGF,3492630000,Aberdeen Singapore Fund Inc.,Asset Management,"Aberdeen Singapore Fund Inc is a closed-end fund. Its investment objective is capital appreciation, which it seeks through investment in Singapore equity securities.",Financial Services
SOJC,2.63E+10,Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077,,,
TITN,2.51E+08,Titan Machinery Inc.,Industrial Distribution,"Titan Machinery Inc is engaged in retail sale, service and rental of agricultural and construction machinery. It sells and repairs agricultural equipment, including machinery and attachments for large-scale farming and home and gardening purposes.",Industrials
COKE,2.28E+09,Coca-Cola Bottling Co. Consolidated,Beverages - Non-Alcoholic,"Coca-Cola Bottling Co Consolidated together with its subsidiaries, produces, markets, and distributes nonalcoholic beverages.",Consumer Defensive
TRC,4.07E+08,Tejon Ranch Co,Real Estate Services,"Tejon Ranch Co is a diversified real estate development and agribusiness company committed to responsibly using its land and resources to meet the housing, employment, and lifestyle needs of Californians and create value for its shareholders.",Real Estate
FBNK,464480000,First Connecticut Bancorp Inc.,Banks,First Connecticut Bancorp Inc is a banking services company. It principally provides community banking products such as commercial and residential lending as well as wealth management services.,Financial Services
DXR,5.28E+07,Daxor Corporation,Medical Instruments & Equipment,Daxor Corp is a US-based biotechnology company which provides original medical equipment for medical personnel. It manufactures the BVA-100 Blood Volume Analyzer that provides a rapid direct measurement of a patient's blood volume.,Healthcare
MUJ,3.98E+08,Blackrock MuniHoldings New Jersey Quality Fund Inc.,Asset Management,BlackRock MuniHoldings New Jersey Quality Fund Inc is a closed-end management investment company. Its investment objective is to provide shareholders with current income exempt from U.S. federal income tax and New Jersey personal income taxes.,Financial Services
CLAR,3.49E+08,Clarus Corporation,Travel & Leisure,"Clarus Corp, formerly, Black Diamond Inc is engaged in designing, manufacturing, and marketing outdoor performance equipment and apparel for climbing, mountaineering, backpacking, skiing, cycling, and other year-round outdoor recreation activities.",Consumer Cyclical
PLOW,9.17E+08,Douglas Dynamics Inc.,Autos,"Douglas Dynamics Inc manufacturer and upfitter of commercial vehicle attachments and equipment. Its products include snow plows, sand and salt spreaders, and turf-care equipment sold under the Blizzard, Fisher, Snowex, Western, and Turfex brands.",Consumer Cyclical
RNP,9.67E+08,Cohen & Steers Reit and Preferred Income Fund Inc,Asset Management,Cohen & Steers REIT & Preferred Income is a closed-ended investment management fund. Its investment objective is to provide high current income through investment in real estate and diversified preferred securities.,Financial Services
DMO,1.48E+08,Western Asset Mortgage Defined Opportunity Fund Inc,Asset Management,"Western Asset Mortg Defined Oppt Fd Inc. is a non-diversified, limited-term, closed-end management investment company. The fund's primary investment objective is to provide current income.",Financial Services
JTD,2.03E+08,Nuveen Tax-Advantaged Dividend Growth Fund of Beneficial Interest,Asset Management,Nuveen Tax-advantaged Dividend Gr Fund is a closed-ended investment company. Its investment objective is to provide an attractive level of tax-advantaged distributions and capital appreciation by investing in dividend-paying equity securities.,Financial Services
LFGR,227561100,Leaf Group Ltd.,Online Media,Leaf Group Ltd is a diversified internet company that builds platforms across its marketplace and media properties to enable communities of creators to reach audiences in large and growing lifestyle categories.,Technology
AFAM,783592824,Almost Family Inc,Health Care Providers,Almost Family Inc is a provider of home health services. Its services include rehabilitation services such as physical therapy occupational therapy and speech therapy. It also provides specialty programs and senior care advocacy.,Healthcare
VPG,3.39E+08,Vishay Precision Group Inc.,Computer Hardware,"Vishay Precision Group Inc designs, manufactures and markets sensors, and sensor-based measurement systems, as well as specialty resistors and strain gages based upon proprietary technology.",Technology
BGT,2.58E+08,BlackRock Floating Rate Income Trust,Asset Management,Blackrock Floating Rate Income Trust has an investment objective to provide a high level of current income. Its secondary investment objective is to seek the preservation of capital.,Financial Services
NHC,1.04E+09,National HealthCare Corporation,Health Care Providers,"National Healthcare Corp is engaged in the operation of skilled nursing facilities with associated assisted living and independent living facilities. It provides sub-acute and post-acute skilled nursing care, senior living and home health care services.",Healthcare
MGU,2.46E+08,Macquarie Global Infrastructure Total Return Fund Inc.,Asset Management,"Macquarie Global Infrastructure Total Re is a diversified, closed-end investment management company. Its investment objective is to provide to its common stockholders a high level of total return consisting of dividends and other income.",Financial Services
VSEC,3.39E+08,VSE Corporation,Engineering & Construction,"VSE Corp is a diversified services and supply chain management company. It provides logistics and distribution services for legacy systems and equipment. It also provides parts, supply-chain solutions, and other services for aviation jet aircraft engines.",Industrials
MGEE,2.46E+09,MGE Energy Inc.,Utilities - Regulated,"MGE Energy Inc is a public utility holding company. The company, through its subsidiaries, generates and distributes electricity and purchases and distributes natural gas.",Utilities
CVCO,1.94E+09,Cavco Industries Inc.,Homebuilding & Construction,"Cavco Industries Inc designs and produces factory-built homes under the Cavco Homes, Fleetwood Homes, and Palm Harbor Homes brands. It also produces modular homes, park model homes and vacation cabins, as well as commercial structures, among others.",Consumer Cyclical
CAPL,5.97E+08,CrossAmerica Partners LP representing limited partner interests,Oil & Gas - Refining & Marketing,"CrossAmerica Partners LP is engaged in the wholesale distribution of motor fuels, consisting of gasoline and diesel fuel. It also owns and leases real estate used in the retail distribution of motor fuels.",Energy
SP,5.81E+08,SP Plus Corporation,Business Services,"SP Plus Corp is a provider of parking management, ground transportation and other ancillary services to commercial, institutional and municipal clients in the United States, Puerto Rico and Canada.",Industrials
STBA,9.96E+08,S&T Bancorp Inc.,Banks,"S&T Bancorp Inc provides banking products and services. The company's business segments are Community Banking, Wealth Management and Insurance. Its products and services include commercial banking, cash management, trust & brokerage and insurance.",Financial Services
TBNK,2.46E+08,Territorial Bancorp Inc.,Banks,"Territorial Bancorp Inc is a bank holding company. The Company through its subsidiary, provides financial services to individuals, families and businesses through its banking offices located throughout the State of Hawaii.",Financial Services
DKL,8.53E+08,Delek Logistics Partners L.P. representing Limited Partner Interests,Oil & Gas - E&P,"Delek Logistics Partners LP owns and operates logistics and marketing assets for crude oil, and intermediate and refined products. It operates in two segments, Pipelines and Transportation, and Wholesale Marketing and Terminalling.",Energy
ACGLP,1.52E+10,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Insurance - Property & Casualty,"Arch Capital Group Ltd provides insurance, reinsurance and mortgage. It provides property, casualty and mortgage insurance and reinsurance lines, and focus on writing specialty lines of insurance and reinsurance.",Financial Services
AKP,126010260,Alliance California Municipal Income Fund Inc,Asset Management,Alliance California Municipal Income Fund Inc is a closed-end management investment company. The fund seeks to provide high current income exempt from regular federal and california state income tax.,Financial Services
ALG,1.30E+09,Alamo Group Inc.,Farm & Construction Machinery,"Alamo Group Inc is engaged in the design and manufacturing of agricultural equipment and infrastructure maintenance equipment. Its products include tractor-mounted mowing and other vegetation maintenance equipment, among others.",Industrials
AMBR,361596206,Amber Road Inc.,Application Software,"Amber Road Inc is a provider of cloud-based global trade management solution. The firm's major customers are based in the United States, Europe and China.",Technology
BLW,5.20E+08,Blackrock Limited Duration Income Trust,Asset Management,Blackrock Ltd Duration Income Trust is a diversified investment fund with an investment objective to provide current income and capital appreciation.,Financial Services
BSL,2.01E+08,Blackstone GSO Senior Floating Rate Term Fund of Beneficial Interest,Asset Management,"Blackstone/GSO Senior Floating Rate Trm is a closed-end term fund. Its objective is to seek high current income, with a secondary objective to seek preservation of capital, consistent with its primary goal of high current income.",Financial Services
BTT,1.68E+09,BlackRock Municipal 2030 Target Term Trust,Asset Management,Blackrock Municipal 2030 Target Term Trust is a closed-end management investment company. Its investment objective is to provide current income exempt from regular federal income tax and to return $25.00 per common share to holders of common shares.,Financial Services
CBTX,5.61E+08,CBTX Inc.,Banks,"CBTX Inc is a bank holding company that operates through its wholly-owned subsidiary, CommunityBank of Texas. It focuses on providing commercial banking solutions to small and mid-sized businesses and professionals.",Financial Services
CET,7.90E+08,Central Securities Corporation,Asset Management,Central Securities Corp is a closed-end management investment company. Its investment objective is the long-term growth of capital.,Financial Services
CIGI,2.60E+09,Colliers International Group Inc.,Real Estate Services,"Colliers International Group Inc is a commercial real estate firm. The company provides commercial real estate services to corporate and institutional clients. It also offers outsourcing and advisory services, lease brokerage, and sales brokerage.",Real Estate
DTW,4.80E+09,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,,,
DUKH,1.79E+10,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,Utilities - Regulated,Duke Energy Corp operates regulates utilities across the US. The company distributes electricity and gas to its customers and engages in three segments: electric utilities and infrastructure; gas utilities and infrastructure; and commercial renewables.,Utilities
EVJ,55867620,Eaton Vance New Jersey Municipal Income Trust Shares of Beneficial Interest,Asset Management,Eaton Vance NJ Muni Income Trust is a diversified closed-end investment company. Its investment objective is to provide current income exempt from regular federal income tax and taxes in its specified state.,Financial Services
GRX,1.94E+08,The Gabelli Healthcare & Wellness Trust of Beneficial Interest,Asset Management,Gabelli Healthcare & WellnessRx Trust operates as a diversified closed-end management investment company. The investment objective of the fund is long term growth of capital.,Financial Services
HCOM,342600000,Hawaiian Telcom Holdco Inc.,Communication Services,"Hawaiian Telcom Holdco Inc provides communications services and products such as local telephone, network access and data transport, long distance, Internet, television and wireless phone service to residential and business customers.",Communication Services
IOSP,2.04E+09,Innospec Inc.,Chemicals,"Innospec Inc develops, manufactures, blends, markets, and supplies fuel additives, oilfield chemicals, personal care and other specialty chemicals. Its segments are Fuel Specialties; Performance Chemicals, Oilfield Services, and Octane Additives.",Basic Materials
IPCC,1568875000,Infinity Property and Casualty Corporation,Insurance - Property & Casualty,"Infinity Property and Casualty Corp is a holding company. The company writes personal automobile insurance with a concentration on nonstandard automobile insurance, commercial vehicle insurance and classic collector automobile insurance.",Financial Services
JCE,2.10E+08,Nuveen Core Equity Alpha Fund of Beneficial Interest,Asset Management,"Nuveen Core Equity Alpha Fund is diversified closed-end management investment company. Its investment objective is to provide an attractive level of total return, primarily through long-term capital appreciation and secondarily through income and gains.",Financial Services
JNP,126225000,Juniper Pharmaceuticals Inc.,Drug Manufacturers,Juniper Pharmaceuticals Inc is a women's health therapeutic company focused on developing therapeutics that address unmet medical needs in women's health. It offers technical services to the pharmaceutical and biotechnology industry.,Healthcare
MQY,4.61E+08,Blackrock MuniYield Quality Fund Inc.,Asset Management,Blackrock Muniyield Quality Fund Inc is a closed-end fund. Its objective is to provide shareholders with as high a level of current income exempt from US federal income taxes as is consistent with its investment policies & prudent investment management.,Financial Services
MYI,8.77E+08,Blackrock MuniYield Quality Fund III Inc,Asset Management,"Blackrock Muniyield Insured Fund, Inc is a closed ended fund that seeks to provide shareholders with as high a level of current income exempt from U.S. federal income taxes as is consistent with its investment policies and prudent investment management.",Financial Services
RBCAA,6.74E+08,Republic Bancorp Inc. Class A Common Stock,Banks,"Republic Bancorp Inc is a financial holding company. The company along with its subsidiaries provide property and casualty insurance coverage and also is in directing, planning and coordinating the business activities.",Financial Services
SAFE,3.19E+09,Safety Income & Growth Inc.,Real Estate Services,"Safety Income and Growth Inc is a real estate company. It is formed primarily to acquire, own, manage, finance and capitalize ground net leases.",Real Estate
SUNS,2.15E+08,Solar Senior Capital Ltd.,Asset Management,Solar Senior Capital Ltd is a non-diversified management investment company. The company's investment objective is to seek to maximize current income consistent with the preservation of capital.,Financial Services
WF,5.82E+09,Woori Bank American Depositary Shares (Each representing 3 shares of),Banks,"Woori Bank operates as a commercial bank. The Company provides corporate banking, consumer banking, investment banking and capital markets services and other banking activities.",Financial Services
XRM,215920000,Xerium Technologies Inc.,Industrial Products,"Xerium Technologies Inc is a manufacturer and supplier of specially engineered consumable products used primarily in the production of paper, paperboard, and specific industrial applications.",Industrials
JHI,1.42E+08,John Hancock Investors Trust,Asset Management,"John Hancock Investors Trust is a closed-end management investment company. It seeks to generate income for distribution to its shareholders, with capital appreciation as a secondary objective.",Financial Services
PFL,3.14E+08,PIMCO Income Strategy Fund Shares of Beneficial Interest,Asset Management,"PIMCO Income Strategy Fund, formerly known as PIMCO Floating Rate Income Fund is a closed-end management investment company. The fund's investment objective is to seek high current income, consistent with the preservation of capital.",Financial Services
BCH,1.01E+10,Banco De Chile ADS,Banks,"Banco De Chile is a financial services company. Through a network of approximately 400 branch location it provides banking services to large corporations, small and medium-size businesses, and individuals.",Financial Services
IX,1.76E+10,Orix Corp Ads,Credit Services,"ORIX Corp is a diversified financial services company with operations in Corporate Financial Services, Maintenance Leasing, Real Estate, Investment and Operation, Retail and Overseas Business.",Financial Services
TLP,656000000,TransMontaigne Partners L.P. Transmontaigne Partners L.P. representing limited partner interests,Oil & Gas - Midstream,"TransMontaigne Partners LP is an oil pipeline and terminal company. It engages in terminaling and transporting refined petroleum products, crude oil, chemicals, and fertilizer, in the Southeast and Gulf Coast and along the Mississippi and Ohio rivers.",Energy
GF,2.39E+08,New Germany Fund Inc. (The),Asset Management,New Germany Fund operates as a closed end fund. It seeks long term capital appreciation through investment in middle market german equities.,Financial Services
FF,6.22E+08,FutureFuel Corp.,Chemicals,"FutureFuel Corp through its subsidiary manufactures diversified chemical products, bio-based products comprised of biofuels, and bio-based specialty chemical products. The company's two reporting segments include chemicals and biofuels.",Basic Materials
GCH,3800700000,Aberdeen Greater China Fund Inc.,Asset Management,Greater China Fund Inc is a closed end management investment company. Its objective is to seek long-term capital appreciation through investment in listed equity securities of companies.,Financial Services
PZE,1873980000,Petrobras Argentina S.A. ADS,Oil & Gas - Integrated,"Petrobras Argentina SA engages in oil and gas exploration and production, refining and distribution, petrochemical manufacturing and gas and energy activities in Latin America.",Energy
PRK,1.27E+09,Park National Corporation,Banks,Park National Corp is a financial bank holding company. It provides commercial banking services to small and medium population Ohio communities.,Financial Services
CCBG,3.82E+08,Capital City Bank Group,Banks,"Capital City Bank Group Inc operates through its subsidiary Capital City Bank which provides traditional deposit and credit services, asset management, mortgage banking, merchant services, bank cards, data processing, and securities brokerage services.",Financial Services
GOVNI,0,Government Properties Income Trust 5.875% Senior Notes due 2046,,,
SSWN,0,Seaspan Corporation 6.375% Notes due 2019,,,
PDI,1.60E+09,PIMCO Dynamic Income Fund,Asset Management,Pimco Dynamic Income Fund is a closed-end management investment company. The fund's investment objective is to seek current income and capital appreciation is a secondary objective.,Financial Services
AC,7.75E+08,Associated Capital Group Inc.,Brokers & Exchanges,"Associated Capital Group Inc is a diversified global financial services company. It operates in the business of alternative investment management, institutional research services and cash and other assets through subsidiaries.",Financial Services
PEO,3.79E+08,Adams Natural Resources Fund Inc.,Asset Management,Adams Natural Resources Fund Inc is a closed-ended management investment company. The Fund's investment objective is to provide total return through a combination of current income and capital appreciation.,Financial Services
DHIL,3.90E+08,Diamond Hill Investment Group Inc.,Asset Management,"Diamond Hill Investment Group Inc sponsors, markets, and provides investment advisory and related services to various U.S. and foreign clients including mutual funds, separate accounts and private investment funds.",Financial Services
ESSA,1.63E+08,ESSA Bancorp Inc.,Banks,"ESSA Bancorp Inc is a bank holding company. The Company through its subsidiary ESSA Bank & Trust provides financial services to individuals, families and businesses. ESSA Bank & Trust is a community-oriented savings association.",Financial Services
OPY,3.01E+08,Oppenheimer Holdings Inc. Class A (DE),Brokers & Exchanges,"Oppenheimer Holdings Inc. is a middle-market investment bank and service broker-dealer. It is involved in various activities such as retail securities brokerage, institutional sales and trading, investment banking, trust services and many others.",Financial Services
KWR,3.44E+09,Quaker Chemical Corporation,Chemicals,"Quaker Chemical Corp manufactures and sells chemicals and chemical-based products. The company's product portfolio includes rolling lubricants, machining and grinding compounds, and corrosion preventives used by steel and aluminum manufacturers.",Basic Materials
DXB,0,Deutsche Bk Contingent Cap TR II Tr Pfd Sec,Banks,Deutsche Bank Contingent Capital Trust II is a financial company.,Financial Services
CMSA,7.53E+09,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,,,
FCNCA,4.33E+09,First Citizens BancShares Inc. Class A Common Stock,Banks,"First Citizens BancShares Inc (DE) is a part of the financial sector in the United States. FCB provides a wide range of retail and commercial banking services, including traditional lending and deposit-taking.",Financial Services
WTBA,3.29E+08,West Bancorporation,Banks,"West Bancorp Inc is a holding company for West Bank. It provides commercial banking services, including checking accounts, savings accounts, money market accounts, and time certificates of deposit.",Financial Services
ULH,4.69E+08,Universal Logistics Holdings Inc.,Transportation & Logistics,"Universal Logistics Holdings Inc is a provider of customized transportation & logistics solutions in United States, Mexico, Canada & Colombia. Its transportation services include dry van, flatbed, heavy haul, refrigerated, shuttle & switching operations.",Industrials
ARD,3.34E+09,Ardagh Group S.A.,Packaging & Containers,"Ardagh Group SA supplies rigid packaging solutions including metal and glass containers for food and beverage markets. Its end users include beer, wine, spirits, soft drink, energy drinks, juices, flavored waters, food, seafood and nutrition industries.",Consumer Cyclical
AROW,4.52E+08,Arrow Financial Corporation,Banks,"Arrow Financial Corp is a holding company. It provides various advisory and administrative services and coordinates the general policies and operation of the banks as well as online and mobile banking, mortgages, commercial loans, investments and other.",Financial Services
AZRE,7.10E+08,Azure Power Global Limited Equity Shares,Utilities - Regulated,"Azure Power Global Ltd produces and sells solar power in India. It is engaged in the development, construction, ownership, operation, maintenance and management of solar power plants and generation of solar energy.",Utilities
BANF,1.41E+09,BancFirst Corporation,Banks,"BancFirst Corp through its subsidiaries provides retail & commercial banking services; It also offers trust services & acts as executor, administrator, trustee, transfer agent & provides item processing, research & other fiduciary services.",Financial Services
BDGE,4.80E+08,Bridge Bancorp Inc.,Banks,"Bridge Bancorp Inc is a bank holding company for The Bridgehampton National Bank. It provides commercial and consumer banking business, including saving and deposits from the consumers, commercial and real estate loans and home equity loans.",Financial Services
BELFB,1.60E+08,Bel Fuse Inc. Class B Common Stock,Computer Hardware,"Bel Fuse Inc designs and manufactures electronic components that protect and connect electronic circuits. Its product portfolio is divided into three categories namely, Magnetic Solutions, Power Solutions & Protection, and Connectivity Solutions.",Technology
BHK,8.31E+08,Blackrock Core Bond Trust,Asset Management,Blackrock Core Bond Trust is a closed-end management investment company. Its objective is to provide current income and capital appreciation.,Financial Services
CCA,32501898,MFS California Municipal Fund of Beneficial Interest,Asset Management,MFS California Municipal Fund is a closed-end fund which seeks to earn high current income exempt from federal income tax and California personal income tax as well as capital appreciation.,Financial Services
CHMG,1.50E+08,Chemung Financial Corp,Banks,"Chemung Financial Corp provides financial services, including demand, savings and time deposits, commercial, residential and consumer loans, and wealth management services.",Financial Services
CMCL,1.97E+08,Caledonia Mining Corporation Plc,Metals & Mining,"Caledonia Mining Corp PLC and its subsidiaries are engaged in the operation of a gold mine and the exploration and development of mineral properties for precious metals. Its segments include Corporate, Zimbabwe, South Africa and Zambia.",Basic Materials
COE,3.80E+08,China Online Education Group American depositary shares each representing 15 Class A,Education,China Online Education Group is engaged in providing online English language education services to students in the People's Republic of China.,Consumer Defensive
CSTR,2.27E+08,CapStar Financial Holdings Inc.,Banks,"CapStar Financial Holdings Inc is a bank holding company. The Company operates as a commercial bank providing products and services including, commercial and industrial loans, private banking and wealth management services.",Financial Services
DFP,5.00E+08,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,Asset Management,"Flaherty & Crumrine Pref&Inc Allocation is a non-diversified, closed-end management investment company. Its investment objective is to seek total return, with an emphasis on high current income.",Financial Services
DIAX,5.37E+08,Nuveen Dow 30SM Dynamic Overwrite Fund of Beneficial Interest,Asset Management,"Dow 30 Premium & Dividend Income Fund is a closed end fund with investment objective to provide a high level of current income, with a secondary objective of capital appreciation.",Financial Services
ESLT,6.57E+09,Elbit Systems Ltd.,Aerospace & Defense,"Elbit Systems Ltd develops and supplies a portfolio of airborne, land and naval systems and products for defense, homeland security and commercial aviation applications. The Company also provides support services.",Industrials
FDEU,1.85E+08,First Trust Dynamic Europe Equity Income Fund of Beneficial Interest,Asset Management,"The Fund will seek to achieve its investment
objective by investing at least 80% of its Managed Assets (as defined below) in
a portfolio of equity securities of European companies of any market
capitalization, including, but not limited to, common and preferred stock that
pay dividends, depositary receipts and real estate investment trusts (""REITs"")See ""Risks--European Markets Risk"" and ""Risks--Non-U.S. Securities Risk"". The
Fund will seek to focus its equity investments on income-producing securities
and will limit its investments in preferred securities, depositary receipts and
REITs, in each case, to no more than 20% of its Managed Assets.",Financial Services
FIF,2.07E+08,First Trust Energy Infrastructure Fund of Beneficial Interest,Asset Management,"First Trust Energy Infrastructure Fund is a non-diversified, closed-end management investment company. Its investment objective is to seek a high level of total return with an emphasis on current distributions paid to shareholders.",Financial Services
GBLI,3.51E+08,Global Indemnity Limited,Insurance - Property & Casualty,"Global Indemnity Ltd a specialty property and casualty insurer. It offers binding authority, program, brokerage, direct and reinsurance services through its distribution channel in United States.",Financial Services
GLIBP,6.70E+09,GCI Liberty Inc. Series A Cumulative Redeemable Preferred Stock,Communication Services,"General Communication Inc is a provider of telecom services. Its business includes wireless, data, video, voice, and managed services to residential customers, businesses, governmental entities, and educational and medical institutions.",Communication Services
HSEA,0,HSBC Holdings plc. Perpetual Sub Cap Secs,Banks,"HSBC Holdings PLC provides commercial banking, global banking, and wealth management among other services. It operates in Europe, Asia, the Middle East and North Africa, and North America.",Financial Services
JLS,1.03E+08,Nuveen Mortgage Opportunity Term Fund,Asset Management,Nuveen Mortgage Opportunity Term Fund operates as a closed end management investment company. Its investment objective is to generate attractive total returns through opportunistic investments in mortgage backed securities.,Financial Services
JOUT,8.50E+08,Johnson Outdoors Inc.,Travel & Leisure,"Johnson Outdoors Inc is a global manufacturer and marketer of branded seasonal, outdoor recreation products. It offers products under Watercraft, Diving, Marine Electronics and Outdoor Gear.",Consumer Cyclical
KSM,1.18E+08,Deutsche Strategic Municiple Income Trust of Beneficial Interest,Asset Management,"DWS Strategic Municipal Income Trust is a closed-end, diversified management investment company. The fund's investment objective is to provide a high level of current income exempt from federal income tax.",Financial Services
LDP,6.68E+08,Cohen & Steers Limited Duration Preferred and Income Fund Inc.,Asset Management,Cohen & Steers Ltd Duration Pref & Inc is a closed-end management investment company. Its objective is high current income. The company invests maximum in Banks.,Financial Services
LGCYO,93100000,Legacy Reserves LP 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,Oil & Gas - E&P,"Legacy Reserves LP is an upstream limited partnership which acquires and exploits oil and natural gas properties located in the Permian Basin, Mid-continent, East Texas and Rocky Mountain regions of the United States.",Energy
LGI,1.89E+08,Lazard Global Total Return and Income Fund,Asset Management,Lazard Global Total Return & Inc Fd Inc is a closed end management investment company. Its investment objective is total return consisting of capital appreciation and income.,Financial Services
LORL,6.46E+08,Loral Space and Communications Inc.,Communication Equipment,"Loral Space & Communications Inc is a provider of satellite-based communications services. It offers video distribution and contribution, and occasional use services as well as telecommunication carrier and integrator services through its subsidiaries.",Technology
MHH,2.50E+08,Mastech Digital Inc,Employment Services,Mastech Digital Inc is a provider of Information Technology (IT) staffing services. The Company recruit through Recruiting Centers located in the U.S. and India that deliver a full range of recruiting and sourcing services.,Industrials
MLR,3.54E+08,Miller Industries Inc.,Autos,"Miller Industries Inc. is a manufacturer of towing and recovery equipment. It products are marketed under the brand names of Century, Challenger, Holmes, Champion, Eagle, Titan, Jige, Boniface, Vulcan, and Chevron.",Consumer Cyclical
MNP,1.37E+08,Western Asset Municipal Partners Fund Inc.,Asset Management,"Western Asset Municipal Partners Fd Inc is a diversified, closed-end management investment company. Its primary investment objective is to seek a high level of current income.",Financial Services
MTT,2.40E+08,Western Asset Municipal Defined Opportunity Trust Inc,Asset Management,"Western Asset Mu Defined Opp Tr Inc is a non-diversified, closed-end management investment company. Its investment objective is to provide high current income exempt from federal income tax and then to liquidate and distribute all of the Fund's.",Financial Services
MUH,1.61E+08,Blackrock MuniHoldings Fund II Inc.,Asset Management,"Blackrock Muniholdings Fund II , Inc is a diversified, closed-end management investment company. The Fund's investment objective is to provide total return through a combination of current income and capital appreciation.",Financial Services
MXF,1.61E+08,Mexico Fund Inc. (The),Asset Management,"Mexico Fund Inc is a closed-end non-diversified management investment company. Its investment objective is to seek long-term capital appreciation through investment in securities, primarily equity, listed on the Mexican Stock Exchange.",Financial Services
